Temperature (C),Humidity,rain,hour
9.47222222222222,0.89,Rain,0
9.355555555555558,0.86,Rain,1
9.377777777777778,0.89,No Rain,2
8.28888888888889,0.83,Rain,3
8.755555555555553,0.83,Rain,4
9.22222222222222,0.85,No Rain,5
7.733333333333334,0.95,Rain,6
8.77222222222222,0.89,No Rain,7
10.82222222222222,0.82,Rain,8
13.77222222222222,0.72,No Rain,9
16.016666666666666,0.67,No Rain,10
17.144444444444446,0.54,Rain,11
17.800000000000004,0.55,Rain,12
17.333333333333332,0.51,No Rain,13
18.87777777777778,0.47,Rain,14
18.911111111111115,0.46,Rain,15
15.38888888888889,0.6,Rain,16
15.550000000000002,0.63,Rain,17
14.255555555555553,0.69,No Rain,18
13.144444444444442,0.7,No Rain,19
11.55,0.77,No Rain,20
11.183333333333334,0.76,Rain,21
10.116666666666667,0.79,Rain,22
10.2,0.77,Rain,23
10.42222222222222,0.62,No Rain,0
9.911111111111111,0.66,No Rain,1
11.183333333333334,0.8,No Rain,2
7.155555555555556,0.79,Rain,3
6.111111111111111,0.82,No Rain,4
6.788888888888888,0.83,Rain,5
7.26111111111111,0.85,No Rain,6
7.799999999999999,0.83,Rain,7
9.872222222222224,0.78,Rain,8
12.22222222222222,0.72,No Rain,9
15.094444444444449,0.61,Rain,10
17.355555555555558,0.52,No Rain,11
19.00555555555555,0.46,Rain,12
20.04444444444444,0.4,No Rain,13
21.05,0.4,Rain,14
21.18333333333333,0.37,Rain,15
20.11666666666666,0.4,No Rain,16
20.216666666666665,0.36,Rain,17
20.0,0.43,Rain,18
17.800000000000004,0.5,Rain,19
16.06111111111111,0.53,No Rain,20
15.02222222222222,0.55,No Rain,21
14.422222222222224,0.58,Rain,22
14.255555555555553,0.59,No Rain,23
13.77222222222222,0.6,Rain,0
13.283333333333331,0.63,No Rain,1
8.633333333333333,0.87,No Rain,2
11.25,0.83,Rain,3
11.183333333333334,0.89,Rain,4
10.694444444444445,0.95,No Rain,5
11.11111111111111,0.93,Rain,6
11.11111111111111,0.93,No Rain,7
12.166666666666666,0.82,No Rain,8
12.755555555555556,0.79,Rain,9
13.838888888888889,0.84,Rain,10
16.183333333333334,0.73,No Rain,11
17.516666666666666,0.67,No Rain,12
17.383333333333333,0.67,Rain,13
17.36111111111111,0.71,Rain,14
17.205555555555556,0.74,Rain,15
15.633333333333333,0.81,Rain,16
13.577777777777776,0.9,No Rain,17
10.911111111111111,0.86,Rain,18
8.800000000000002,0.99,Rain,19
8.961111111111112,0.93,Rain,20
8.199999999999998,0.96,Rain,21
7.688888888888891,0.96,Rain,22
7.766666666666664,0.96,Rain,23
8.199999999999998,0.96,Rain,0
8.177777777777777,0.93,Rain,1
7.311111111111109,0.82,No Rain,2
